Timestamp;Y;F3;F4;P7;FC6;F7;F8;T7;P8;FC5;AF4;Unknown;T8;X;O2;O1;AF3;QY;QF3;QF4;QP7;QFC6;QF7;QF8;QT7;QP8;QFC5;QAF4;QUnknown;QT8;QX;QO2;QO1;QAF3
1456820379.19;22;-53;-93;-67;-4;-74;-54;-88;-59;-60;-17;47;-85;21;-12;-44;-45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1456820379.21;22;-45;-125;-91;-54;-104;-115;-87;-98;-92;-33;57;-117;21;-39;-49;-81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1456820379.22;22;-63;-129;-93;-37;-87;-106;-111;-100;-62;-13;59;-115;21;-30;-61;-88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1456820379.23;22;-50;-118;-97;-36;-65;-95;-115;-102;-58;-25;60;-109;21;-40;-61;-71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1456820379.24;22;-65;-114;-96;-30;-62;-90;-91;-91;-67;-39;61;-91;21;-24;-54;-60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1456820379.25;22;-61;-130;-93;-40;-85;-98;-73;-89;-70;-33;62;-98;21;-19;-56;-70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1456820379.26;22;-55;-130;-100;-55;-88;-108;-100;-90;-65;-33;63;-115;21;-21;-56;-86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1456820379.27;22;-54;-124;-116;-56;-77;-115;-127;-98;-69;-49;63;-116;21;-23;-63;-82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1456820379.28;22;-57;-132;-123;-53;-84;-115;-129;-112;-82;-49;63;-118;21;-40;-75;-69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1456820379.28;22;-73;-132;-121;-55;-87;-108;-118;-121;-87;-38;63;-121;21;-49;-72;-77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8